external_id	language	cefr_level	category	subskill	name_en	name_de	teaching_order	is_foundation	core_rule	when_to_use	pattern	contrast_rules	main_traps	anchor_examples	exercise_tags	xray_sentence	xray_marks	source_refs
FR_A1_NOUN_001	fr	A1	Agreement	gender_number	Gender and number basics	Genus und Numerus: Grundlagen	10	true	French nouns carry gender and number; determiners and many adjectives must match the noun they belong to.	Use this whenever a noun phrase contains an article, adjective, or pronoun that must agree with the noun.	masculine/feminine + singular/plural noun -> matching determiner/adjective	English does not mark gender on articles; French does. | Plural -s is often silent but still controls written agreement.	guessing gender from English | forgetting plural marks in writing | agreeing with the nearest word instead of the noun	un livre blanc | une table blanche | des livres blancs	agreement | nouns | gender | number	Une petite table blanche est dans la cuisine.	Une table=>controller=>the feminine singular noun controls the phrase||petite...blanche=>agreement_marks=>both adjectives take feminine singular endings	cefr | delf_a1 | kwiziq_a1
FR_A1_ART_001	fr	A1	Articles	definite_articles	Definite articles: le, la, l', les	Bestimmte Artikel: le, la, l', les	20	true	Use le, la, l', or les when the noun is specific, known, or treated as a general category.	Use this when English uses “the,” or when French names a general class like languages, sports, preferences, and abstract nouns.	le/la/l'/les + noun	Le/la/les can mean “the” or a whole category; un/une introduces one item. | L' is only for singular nouns before a vowel or silent h.	using le/la from sound only | forgetting l' before a vowel | using des for a general category	le livre | la ville | l'école | les enfants	articles | definite | elision	J'aime la musique et les films français.	la musique=>general_category=>a whole category uses a definite article||les films=>plural_known_category=>plural category also keeps the definite article	cefr | delf_a1 | kwiziq_a1
FR_A1_ART_002	fr	A1	Articles	indefinite_articles	Indefinite articles: un, une, des	Unbestimmte Artikel: un, une, des	30	true	Use un, une, or des to introduce an unspecified person or thing.	Use this when the listener does not yet know which item you mean, or when English uses “a,” “an,” or “some.”	un/une/des + noun	Indefinite articles introduce; definite articles identify. | Des is plural “some,” not a definite plural.	using le/la for a new item | forgetting des in plural | using une with masculine nouns	J'ai un frère. | Elle cherche une adresse. | Nous avons des questions.	articles | indefinite | number	J'ai une question et des idées.	une question=>new_singular=>an unspecified singular item is introduced||des idées=>new_plural=>plural new items use des	cefr | delf_a1 | kwiziq_a1
FR_A1_ART_003	fr	A1	Articles	partitive_articles	Partitive articles: du, de la, de l'	Teilungsartikel: du, de la, de l'	40	true	Use partitive articles for an unspecified amount of something not counted as individual units.	Use this with food, drink, materials, and abstract quantities when you mean “some” or “any amount of.”	du/de la/de l' + mass noun	Partitive du/de la is quantity; definite le/la is the whole category. | After a negative quantity, the article often changes to de.	using le/la when you mean some | using des with mass nouns | forgetting de l' before vowels	Je bois du café. | Elle mange de la soupe. | Il a de l'énergie.	articles | partitive | quantity	Je voudrais du pain et de l'eau.	du pain=>partitive_quantity=>an unspecified amount of bread||de l'eau=>elided_partitive=>de l' appears before a vowel	cefr | delf_a1 | kwiziq_a1
FR_A1_DET_001	fr	A1	Determiners	possessives	Possessives: mon, ma, mes	Possessivbegleiter: mon, ma, mes	50	true	French possessives agree with the thing possessed, not with the owner.	Use this before a noun when you want to say my, your, his, her, our, or their.	possessive determiner + possessed noun	English possessives agree with the owner; French possessives agree with the noun. | Mon is used before feminine vowel-initial nouns.	using ma before a vowel | agreeing with the owner | forgetting plural mes	mon livre | ma voiture | mon amie | mes clés	determiners | possessives | agreement	Mon amie arrive avec mes clés.	Mon amie=>vowel_exception=>mon appears before feminine amie because it starts with a vowel||mes clés=>plural_possessed=>the possessed noun is plural, so mes is required	cefr | delf_a1 | kwiziq_a1
FR_A1_DET_002	fr	A1	Determiners	demonstratives	Demonstratives: ce, cet, cette, ces	Demonstrativbegleiter: ce, cet, cette, ces	60	true	Use ce, cet, cette, or ces to point to a noun as “this” or “that.”	Use this when identifying, pointing out, or contrasting a specific noun in the situation.	ce/cet/cette/ces + noun	Cet is masculine singular before a vowel sound; cette is feminine. | French does not distinguish this/that in the determiner itself.	using ce before a vowel | mixing cette and cet | forgetting plural ces	ce livre | cet homme | cette idée | ces questions	determiners | demonstratives | agreement	Cet hôtel est près de cette gare.	Cet hôtel=>masculine_vowel=>cet replaces ce before a vowel sound||cette gare=>feminine_singular=>feminine singular uses cette	cefr | delf_a1 | kwiziq_a1
FR_A1_PRON_001	fr	A1	Pronouns	subject_pronouns	Subject pronouns and on	Subjektpronomen und on	70	true	Subject pronouns name who does the action; on often means we, people, or someone depending on context.	Use this whenever the verb needs an explicit subject, especially to distinguish il/elle, ils/elles, nous, vous, and on.	subject pronoun + conjugated verb	On is grammatically singular even when it means “we.” | Vous can be plural or formal singular.	using nous endings after on | mixing ils and elles | using tu in formal contexts	On va au marché avec nos amis.	On=>singular_form=>on uses third-person singular verb form||nos amis=>we_meaning=>the context can still mean “we”	cefr | delf_a1 | kwiziq_a1
FR_A1_VERB_001	fr	A1	Verbs	present_core	Present tense core verbs	Präsens: Kernverben	80	true	Use the present tense for current actions, habits, general facts, and near-future context when time is clear.	Use this as the base tense for everyday statements and questions before adding past or future frames.	subject + present verb ending	The French present can cover English “do,” “am doing,” and sometimes scheduled near future. | Irregular high-frequency verbs must be learned as forms, not rules.	using infinitive after a subject | mixing nous/vous endings | treating être/avoir/aller/faire as regular	je parle | nous finissons | ils prennent | elle va	verbs | present | conjugation	Nous faisons nos devoirs et elle prend le train.	Nous faisons=>irregular_present=>faire has an irregular nous form||elle prend=>third_person=>prendre changes stem in the singular	cefr | delf_a1 | kwiziq_a1
FR_A1_NEG_001	fr	A1	Negation	ne_pas	Basic negation: ne...pas	Grundnegation: ne...pas	90	true	Place ne before the conjugated verb and pas after it to make a standard negative sentence.	Use this for simple negative statements in written or careful French.	ne/n' + verb + pas	Spoken French often drops ne; the notebook keeps the full written frame. | Article changes after negation are a separate A2 rule.	forgetting ne in writing | placing pas before the verb | confusing n' before a vowel	Je ne comprends pas. | Elle n'aime pas ça. | Nous ne partons pas.	negation | ne_pas | syntax	Elle n'aime pas le café.	n'aime=>elided_ne=>ne becomes n' before a vowel||pas=>negative_marker=>pas closes the negation frame after the verb	cefr | delf_a1 | kwiziq_a1
FR_A1_SYN_001	fr	A1	Syntax	basic_questions	Basic questions	Grundfragen	100	true	French questions can use rising intonation, est-ce que, or inversion depending on formality.	Use this when asking for information while keeping the right register.	intonation / est-ce que + statement order / inversion	Est-ce que keeps normal word order; inversion changes subject-verb order. | Question words can stand at the start or stay in spoken position.	using inversion and est-ce que together | forgetting hyphen in inversion | using English word order after question words	Tu viens ? | Est-ce que tu viens ? | Où habites-tu ?	questions | syntax | register	Est-ce que tu viens demain ?	Est-ce que=>question_frame=>keeps normal statement order after it||tu viens=>statement_order=>subject and verb stay in their regular order	cefr | delf_a1 | kwiziq_a1
