external_id	language	cefr_level	category	subskill	name_en	name_de	name_fr	teaching_order	is_foundation	core_rule	when_to_use	pattern	contrast_rules	main_traps	anchor_examples	exercise_tags	xray_sentence	xray_marks	source_refs	sub_band	prerequisites	contrast_partners	detector	rule_short_en	rule_short_de	rule_short_fr	review_status
FR2_A11_ETRE	fr	A1	Verbs	subject_pronouns_etre	I am, you are: subject pronouns and être	Ich bin, du bist: Subjektpronomen und être	Je suis, tu es : les pronoms et être	10	true	Être is irregular in the present; each subject pronoun (je, tu, il/elle/on, nous, vous, ils/elles) has its own form, and vous is also the polite singular.	Use it to say who you are, where you are, and what someone or something is like.	je suis / tu es / il est / nous sommes / vous êtes / ils sont	Tu is for one friend or family member; vous is for several people or one person you address politely. | On (we, people) takes the il form: on est.	✗ Je es français. → ✓ Je suis français. | using tu with a stranger or a waiter | writing ils est instead of ils sont	Je suis étudiante. | Vous êtes Madame Martin ? | Nous sommes à Lyon.	etre | present | subject_pronouns | tu_vous	Je suis Margaux et vous êtes le nouveau voisin ?	Je suis=>subject_verb=>je takes suis||vous êtes=>polite_form=>vous for someone you don't know	cefr | delf_a1 | kwiziq_a1	A1.1			regex:\b(?:je suis|tu es|(?:il|elle|on|c') ?est|nous sommes|vous êtes|(?:ils|elles) sont)\b	Être means to be: je suis, tu es, il est, nous sommes, vous êtes, ils sont.	Être heißt sein: je suis, tu es, il est, nous sommes, vous êtes, ils sont.	Être, c'est la base : je suis, tu es, il est, nous sommes, vous êtes, ils sont.	draft
FR2_A11_AVOIR	fr	A1	Verbs	avoir_present	Avoir: I have, I am 20	Avoir: ich habe, ich bin 20	Avoir : j'ai, j'ai 20 ans	20	true	Avoir is irregular in the present (j'ai, tu as, il a, nous avons, vous avez, ils ont) and is used for possession and for age, hunger, thirst, heat and cold.	Use it to say what you have, how old you are, or that you are hungry, thirsty, hot or cold.	subject + ai/as/a/avons/avez/ont (+ noun)	English and German use 'to be' for age, hunger and thirst; French uses avoir.	✗ Je suis 20 ans. → ✓ J'ai 20 ans. | forgetting the elision: j'ai, not je ai | confusing ils ont (have) with ils sont (are)	J'ai deux enfants. | Tu as faim ? | Elle a trente ans.	avoir | present | age | irregular	J'ai vingt ans et j'ai soif.	J'ai vingt ans=>age_with_avoir=>age takes avoir, not être||j'ai soif=>state_with_avoir=>thirst also takes avoir	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_ETRE	FR2_A11_ETRE	regex:\b(?:j'ai|tu as|il a|elle a|on a|nous avons|vous avez|ils ont|elles ont)\b	Avoir means to have; French also uses it for age, hunger and thirst: j'ai 20 ans.	Avoir heißt haben; auch für Alter, Hunger und Durst: j'ai 20 ans.	Avoir sert à posséder, mais aussi pour l'âge, la faim et la soif : j'ai 20 ans.	draft
FR2_A11_IL_Y_A	fr	A1	Syntax	il_y_a	Il y a: there is, there are	Il y a: es gibt	Il y a : ce qui existe ici	30	false	Il y a is a fixed presentative built on avoir; it stays singular whatever follows, and becomes il n'y a pas de in the negative.	Use it to say what exists somewhere or what is available: in a room, a street, a menu.	il y a + un/une/des/du + noun (+ place)	Il y a presents something new; c'est identifies something already in view. | Negative: il n'y a pas de pain (de, not du).	✗ Il est un café ici. → ✓ Il y a un café ici. | making it plural: ✗ il y ont | keeping du after the negative: ✗ il n'y a pas du pain	Il y a un café près de la gare. | Il y a des croissants ? | Il n'y a pas de métro ici.	il_y_a | presentative | existence	Dans la rue, il y a une boulangerie et deux cafés.	il y a=>presentative=>fixed form: there is / there are||une boulangerie...deux cafés=>new_items=>singular or plural, il y a does not change	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_AVOIR	FR2_A11_AVOIR	regex:\bil (?:n')?y (?:a|avait|aura)\b	Il y a means there is or there are, and never changes: il y a deux cafés.	Il y a heißt es gibt oder da ist; es bleibt immer gleich: il y a deux cafés.	Il y a présente ce qui existe ; la forme ne change jamais : il y a deux cafés.	draft
FR2_A11_UN_UNE	fr	A1	Articles	indefinite_articles	Un, une, des: a, an, some (and gender)	Un, une, des: ein, eine, einige (und das Genus)	Un, une, des : les articles indéfinis	40	true	Un (masculine) and une (feminine) introduce one unspecified item; des is the plural indefinite and has no English equivalent word ('some' or nothing). Gender is a property of each noun and must be learnt with it.	Use it the first time you mention something, or to say what kind of thing it is.	un + masculine noun / une + feminine noun / des + plural noun	Un/une introduce something new; le/la point to something known. | English often drops 'some'; French keeps des: j'ai des questions.	✗ J'ai questions. → ✓ J'ai des questions. | guessing gender from English or German (la table but der Tisch) | learning a noun without its un/une	Je voudrais un café. | C'est une bonne idée. | Nous avons des amis à Paris.	articles | indefinite | gender | plural	Il y a un croissant, une tarte et des macarons.	un croissant=>masculine=>un: masculine noun||une tarte=>feminine=>une: feminine noun||des macarons=>plural=>des: plural, 'some'	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_ETRE	FR2_A11_LE_LA	regex:\b(?:un|une|des)\s+(?!(?:peu|fois|jour|instant|moment|autres?|seule?|de|du|des)\b)[a-zàâçéèêëîïôûùüÿœ]{2,}	Every noun is masculine or feminine: un café, une table; des is the plural (some).	Jedes Nomen ist männlich oder weiblich: un café, une table; des ist der Plural.	Chaque nom est masculin ou féminin : un café, une table ; au pluriel, des.	draft
FR2_A11_LE_LA	fr	A1	Articles	definite_articles	Le, la, l', les: the	Le, la, l', les: der, die, das	Le, la, l', les : les articles définis	50	true	The definite article marks a noun as known or as a whole category; le/la become l' before a vowel or mute h, and les is the plural for both genders.	Use it for something already mentioned or obvious, and after verbs of liking: aimer, adorer, détester, préférer.	le + masc. / la + fem. / l' + vowel / les + plural	Un café is one coffee; le café is this coffee or coffee in general. | After aimer, French uses le/la where English uses no article: j'aime la musique.	✗ J'aime café. → ✓ J'aime le café. | ✗ le école → ✓ l'école | using le for a plural noun	Le train part à huit heures. | J'adore la musique française. | L'addition, s'il vous plaît !	articles | definite | elision | general_category	J'aime le thé, mais l'eau et les jus, c'est mieux le matin.	le thé=>general_category=>liking verbs take le/la||l'eau=>elision=>la becomes l' before a vowel||les jus=>plural=>les for every plural	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_UN_UNE	FR2_A11_UN_UNE	regex:\b(?:le|la|les)\s+(?!(?:plus|moins|plupart|uns|unes|deux)\b)[a-zàâçéèêëîïôûùüÿœ]{2,}|\bl'[aeiouhéèêàâîôû]	Le, la, l', les mean 'the'; they also name things in general: j'aime le café.	Le, la, l', les heißen der/die/das; auch allgemein: j'aime le café (Kaffee allgemein).	Le, la, l', les désignent une chose connue, ou une chose en général : j'aime le café.	draft
FR2_A11_ER_VERBS	fr	A1	Verbs	present_er	Present tense of -er verbs	Präsens der Verben auf -er	Le présent des verbes en -er	60	true	Regular -er verbs form the present from the stem plus -e, -es, -e, -ons, -ez, -ent; the endings -e, -es, -ent are silent, so four forms sound the same.	Use it for what you do now, usually, or in general: habiter, travailler, parler, aimer, manger.	stem (parl-) + e / es / e / ons / ez / ent	English has one ending (-s); French has six written forms but mostly one sound. | Je becomes j' before a vowel: j'habite, j'aime.	✗ Ils parlont. → ✓ Ils parlent. | pronouncing the -ent of ils parlent | ✗ je habite → ✓ j'habite	J'habite à Lyon. | Vous parlez anglais ? | Nous travaillons le samedi.	present | er_verbs | conjugation | endings	Tu travailles ici ? Moi, j'habite à côté et nous mangeons souvent ensemble.	travailles=>verb_ending=>-es for tu||habite=>verb_ending=>-e for je||mangeons=>verb_ending=>-ons for nous (mange + ons)	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_ETRE		regex:\b(?:je|j'|tu|il|elle|on|nous|vous|ils|elles)\s*(?!(?:sommes|êtes|avez|avons|faites|faisons|dites|allez|allons|prenons|prenez|prennent|viennent|venez|venons|pouvez|voulez|devez|vivent|disent|lisent|écrivent|mettent|boivent)\b)[a-zàâçéèêëîïôûùüÿœ]+(?:e|es|ons|ez|ent)\b	Most verbs end in -er; drop -er and add -e, -es, -e, -ons, -ez, -ent: je parle.	Die meisten Verben enden auf -er: -er weg, dann -e, -es, -e, -ons, -ez, -ent: je parle.	La plupart des verbes finissent en -er : on enlève -er et on ajoute -e, -es, -e, -ons, -ez, -ent.	draft
FR2_A11_NEGATION	fr	A1	Negation	ne_pas_pas_de	Ne…pas, and pas de	Ne…pas und pas de	Ne…pas et pas de	70	true	Negation surrounds the conjugated verb (ne/n' … pas); after a negative verb, indefinite and partitive articles (un, une, des, du, de la) become de/d', except after être.	Use it to say no, refuse, or say something is missing: je ne mange pas de viande.	ne/n' + verb + pas (+ de/d' + noun)	Le/la/les do not change after pas: je n'aime pas le café. | After être, the article stays: ce n'est pas un problème.	✗ Je ne veux pas du sucre. → ✓ Je ne veux pas de sucre. | putting pas before the verb: ✗ je pas aime | forgetting n' before a vowel: ✗ je ne aime pas	Je ne parle pas allemand. | Il n'y a pas de lait. | Nous n'avons pas d'enfants.	negation | ne_pas | pas_de | articles	Désolé, je n'ai pas de monnaie et je ne bois pas de café.	n'ai pas=>negation_frame=>ne…pas around the verb||pas de monnaie=>article_change=>de replaces de la after pas	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_ER_VERBS | FR2_A11_UN_UNE		regex:\b(?:ne|n')\s*(?:[a-zàâçéèêëîïôûùüÿœ']+\s+){0,2}?[a-zàâçéèêëîïôûùüÿœ]+\s+pas\b	Put ne before the verb and pas after it; un, une, du, des become de: pas de café.	Ne vor das Verb, pas danach; un, une, du, des werden zu de: pas de café.	Ne se place avant le verbe, pas après ; un, une, du, des deviennent de : pas de café.	draft
FR2_A11_QUESTIONS	fr	A1	Syntax	yes_no_questions	Yes/no questions: intonation and est-ce que	Ja/Nein-Fragen: Intonation und est-ce que	Les questions fermées : intonation et est-ce que	80	true	A statement becomes a yes/no question by rising intonation (spoken) or by adding est-ce que (est-ce qu' before a vowel) in front of it; word order does not change.	Use it to check, ask for permission, or ask whether something is available.	Vous avez… ? / Est-ce que + statement ?	Inversion (Avez-vous… ?) is more formal; see the A2 unit on inverted questions.	✗ Est-ce que vous avez-vous du pain ? → ✓ Est-ce que vous avez du pain ? | ✗ est-ce que il → ✓ est-ce qu'il | answering si instead of oui to a positive question	Vous avez une table pour deux ? | Est-ce que tu viens ce soir ? | Est-ce qu'il y a du wifi ?	questions | est_ce_que | intonation	Est-ce que vous avez des croissants ?	Est-ce que=>question_marker=>turns the sentence into a question||vous avez des croissants=>statement_order=>the rest keeps normal order	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_ER_VERBS		regex:\best-ce qu(?:e|')|\b(?:vous|tu|il|elle|on)\s+[a-zàâçéèêëîïôûùüÿœ]+[^.?!]*\?	To ask a yes/no question, raise your voice at the end, or start with est-ce que.	Für eine Ja/Nein-Frage: Stimme am Ende heben oder mit est-ce que beginnen.	Pour une question fermée, montez la voix à la fin, ou commencez par est-ce que.	draft
FR2_A11_QUESTION_WORDS	fr	A1	Syntax	question_words	Question words: où, quand, comment, combien, quel	Fragewörter: où, quand, comment, combien, quel	Les mots interrogatifs : où, quand, comment, combien, quel	90	true	Information questions use où, quand, comment, combien (de), pourquoi, qui, qu'est-ce que, and quel/quelle/quels/quelles, which agrees with the noun; in speech they often go at the end: tu habites où ?	Use them to ask where, when, how, how much, why, who, what and which.	question word + est-ce que + statement / statement + question word	Quel agrees with its noun (quelle heure, quels films); the other words never change. | Qu'est-ce que asks for a thing; qui asks for a person.	✗ Combien coûte ça est-ce que ? → ✓ Combien ça coûte ? | ✗ Quel heure est-il ? → ✓ Quelle heure est-il ? | combien de + noun without article: combien de sucres	Où est la gare ? | Ça coûte combien ? | Qu'est-ce que vous prenez ?	questions | question_words | quel	Pardon, quelle heure est-il et où est la sortie ?	quelle heure=>agreeing_question_word=>quel becomes quelle with a feminine noun||où=>question_word=>asks for a place	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_QUESTIONS		regex:\b(?:où|quand|comment|combien|pourquoi|qu'est-ce qu|quel(?:le)?s?)\b[^.!]*\?	Question words ask for information: où (where), quand (when), comment (how), combien (how much), quel (which).	Fragewörter fragen nach Informationen: où (wo), quand (wann), comment (wie), combien (wie viel), quel (welcher).	Les mots interrogatifs demandent une information : où, quand, comment, combien, pourquoi, quel.	draft
FR2_A11_JE_VOUDRAIS	fr	A1	Verbs	je_voudrais_chunk	Je voudrais…, vous voulez… ? (polite asking)	Je voudrais…, vous voulez… ? (höflich bitten)	Je voudrais…, vous voulez… ? (demander poliment)	100	true	Je voudrais is the conditional of vouloir, learnt here as a fixed polite formula; je veux sounds blunt when ordering. Vous voulez/tu veux + noun or infinitive is the usual way to offer.	Use it to order, ask in a shop, or offer something.	je voudrais + noun / infinitive; vous voulez / tu veux + noun / infinitive ?	Je veux is correct but sounds demanding to a waiter; je voudrais is polite. | The full conditional is taught at A2.1 (politeness) and B1.1 (all forms).	✗ Je veux un café. (to a waiter) → ✓ Je voudrais un café, s'il vous plaît. | ✗ je voudrais de un café → ✓ je voudrais un café | writing je voudrai (future) instead of je voudrais	Je voudrais un croissant, s'il vous plaît. | Vous voulez du sucre ? | Je voudrais réserver une table.	politeness | ordering | chunk | vouloir	Bonjour, je voudrais un café et une tarte, s'il vous plaît.	je voudrais=>polite_request=>the polite 'I would like'||s'il vous plaît=>politeness_marker=>please, with vous	cefr | delf_a1 | kwiziq_a1	A1.1	FR2_A11_UN_UNE		regex:\b(?:je voudrais|j'aimerais|(?:vous voulez|tu veux)\b)	Say je voudrais (I would like) to ask politely; ask others vous voulez… ?	Mit je voudrais (ich hätte gern) bittet man höflich; man fragt vous voulez… ?	Pour demander poliment, dites je voudrais ; pour proposer, vous voulez… ?	draft
